Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Trade Sales Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Other Department,3 Sep 2023,4.0,4.0,3.0,4.0,4.0,4.0,2.0,Over all it's good company.,Managers need to understand the downline employee problem.
Trade Sales Manager,New Delhi,Full Time,Enterprise & B2B Sales Department,5 Jun 2023,4.0,3.0,5.0,5.0,5.0,5.0,4.0,"What attracts me the most that In Bajaj Electricals you can work here at any department if you are interested in changing the nature of you job, you can have transfer in marketing you can have transfer at any place in India suitable for you.",The work culture create by reporting managers.
Fleet Coordinator,"Patna, Bihar",Full Time,SCM & Logistics Department,4 Mar 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Don't join this company because there have not good culture for logistics.
You will have to work over there too much time but no holiday no weak off and if you have medical issues it's your problem no leave will provide you by company.
I had joined in this company it's my biggest mistake in my life.","Everything is dislike
1 there is not a fix date of salary credentials of offrole employees.
2 Your HR of your consultant are not responding when you have a query he just say as Bajaj said to him.
3 No overtime or holidays will pay to you because you are offrole employee.
4 There have no culture here Bajaj employee treats you like a labour."
Distributor Sales Officer,"Imphal, Manipur",Full Time,Marketing Department,4 Mar 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,Quaterly meets in a year about new products launching & sharing details of the new products through online or offline mode.Weekend saturday meets sharing feedback and analyzing market to promote & growth our sales activity with company area sales manager and distributor manager. Weekly market visiting and taking orders from retailers.,Company based incentives & schemes for our target does not transfer by the end of the current month. It takes a lot of time  around 4 /5/6monthes  to be credit on our account.
Design Engineer,"Navi Mumbai, Maharashtra",Full Time,Engineering & Manufacturing Department,3 Mar 2023,3.0,4.0,2.0,2.0,3.0,3.0,3.0,"Flexi timing
Culture is not toxic","Each and every new project is urgent from the time it's started only for a specific department.
Unrealistic time lines are given.
Pay dispersion is not fair.
Marketing is never clear about what they exactly want. 
Unwanted pressure is created only on one department regardless of who is responsible for the delay in project."
Trade Sales Manager,"Kolkata, West Bengal",Full Time,Retail & B2C Sales Department,8 Apr 2023,4.0,4.0,2.0,4.0,3.0,3.0,3.0,"Established Brands and Structured and organised working system.
Market leader in most of the categories.
If reporting boss is good, then company is a heaven to work.",Slow to responses . Management is unclear as far as long term strategy is concerned. Only focuses on short term gap fills.
Manager Sales,Mumbai,Full Time,Enterprise & B2B Sales Department,1 Jun 2023,3.0,4.0,3.0,3.0,4.0,4.0,3.0,Company culture is good. Aggressively working in gender diversity,"Appraisal should involve HR also. 
Hybrid working option. Saturday off."
Manager,"Navi Mumbai, Maharashtra",Full Time,Engineering & Manufacturing Department,4 Sep 2023,4.0,5.0,4.0,4.0,4.0,4.0,3.0,Research,Not focusing on new categories
Manager - Consumer Products,Kolkata,Full Time,Enterprise & B2B Sales Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything is Fantastic. overall great experience…,Nothing for Dislike
Cp-sales Manager,"Patna, Bihar",Full Time,Retail & B2C Sales Department,3 Apr 2023,5.0,4.0,5.0,5.0,5.0,5.0,3.0,Bajaj Electricals is good organisation in me and women candidates.,Bajaj Electricals is reputed company but some people like RH and other level management is poor very politic .
