Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Operator,"Neemrana, Rajasthan",Contractual,SCM & Logistics Department,4 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Like,Company not provided permanent
Production Engineer,Neemrana,Full Time,Production Department,0 Jun 2023,4.0,4.0,3.0,3.0,5.0,4.0,3.0,Nice experience as a production eng.,Depend person to person
Scm Executive,"Sri City, Andhra Pradesh",Full Time,SCM & Logistics Department,2 Aug 2023,5.0,5.0,3.0,5.0,5.0,3.0,5.0,I love Daikin Compressor plant,No
Graduate Trainee,"Sri City, Andhra Pradesh",Full Time,Engineering Department,8 Jun 2023,2.0,2.0,5.0,3.0,5.0,3.0,2.0,Work safety,Salaries and all they want is man power no matter what GET r DET r Contract worker’s.
Diploma Trainee Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,2 Jun 2023,2.0,2.0,2.0,1.0,2.0,2.0,2.0,I like company culture and discipline,Given extra time not like
Diploma Engineer Trainee,Neemrana,Full Time,Production Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company,"No dislike 
No 
No
No
No"
Junior Engineer,"Neemrana, Rajasthan",Full Time,Engineering Department,6 May 2023,2.0,1.0,1.0,1.0,4.0,2.0,1.0,Hplidays,"stress factor are more 
management are not supportive
food are not good"
Sr. Manager - Customer Service,Mumbai,Full Time,Service Delivery Department,7 Mar 2023,4.0,4.0,5.0,4.0,5.0,5.0,4.0,Senior management is always available to discuss with any grade person for his or her concerns. Authorities are given to every employee to take decisions on benefit for company.,Promotion & Appraisal
Sr. Executive,Neemrana,Full Time,Finance Department,2 Apr 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Working culture is good for male or female both.,Appraisal is not satisfactory so employee turnover is little high.
Junior Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,5 Jul 2023,4.0,5.0,5.0,3.0,5.0,5.0,3.0,All for good campny beinifit,No comments
Administration Training And Development Executive,Neemrana,Contractual,Facility Management Department,1 May 2023,5.0,4.0,5.0,4.0,5.0,5.0,4.0,"Very good culture
Opportunities to learn and grow",Nothing as of now
Junior Engineer(production),"Ahmedabad, Gujarat",Full Time,Operations Department,4 Aug 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0,Good culture and job security,Salary and pramotion
Deputy Manager,"Jodhpur, Rajasthan",Full Time,After Sales Service & Repair Department,6 May 2023,4.0,3.0,5.0,2.0,5.0,3.0,2.0,"Job secure , Skill development,","Salary hike, No culture activities"
Deputy Manager,"Sri City, Andhra Pradesh",Full Time,Procurement & Purchase Department,0 Jul 2023,2.0,1.0,2.0,3.0,4.0,1.0,2.0,Brand name and value,Culture
Project Engineer,"Lucknow, Uttar Pradesh",Full Time,VRV SALES/ PROJECT MAN3 Department,4 Sep 2022,4.0,3.0,4.0,3.0,5.0,3.0,2.0,"The job security is there as you won't be fired if you are following the policy laid out.
They do focus on development of employees by having employees engaged in different training conducted by Japan/Singapore team.","The growth at Daikin is a little slower even if you are a talented guy that stands out from the rest.
The pressure of work is so high that sometimes we have to work till 8 and 9 in evenings."
Ac Tecnicion,Hyderabad/Secunderabad,Full Time,Other Department,1 Sep 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,I am like working at Daikin,No dislike
Assistant Manager,Chennai,Full Time,Quality Assurance and Testing Department,6 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing to say,Lot to say
Engineer Service Manager,"Chandigarh, Chandigarh",Full Time,Service Delivery Department,8 Jul 2023,3.0,2.0,5.0,3.0,4.0,4.0,3.0,Possibly the work environment.,"Work life balance
Lots of work to be done by individual employee."
Deputy Manager - Customer Service,"Mumbai, Maharashtra",Full Time,Service Delivery Department,3 Mar 2023,4.0,2.0,4.0,3.0,5.0,4.0,3.0,Culture and public centre management,Less manpower compare to work load and it's creat pressure on employees
ASM- Customer Service,"Goa, Goa",Full Time,After Sales Service & Repair Department,1 Jul 2023,4.0,3.0,5.0,3.0,5.0,5.0,2.0,Management and work Culture is really good.,Promotions and Salary paid to employees are less than the responsibility they handle.
Electrical Engineer,Hyderabad/Secunderabad,Full Time,Engineering Department,1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I like Daikin ac company,I like Daikin ac company
